number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
0,0.8682579639117843,2026-07-22 16:10:39.130134,2026-07-22 16:10:39.970115,0 days 00:00:00.839981,0.6232334448672797,0.7800932022121826,0.17254716573280354,8,12.374511199743695,362,0.6245760287469887,0.003899318902679121,1.3535835570707873,0.662397808134481,COMPLETE
1,0.8773245711739809,2026-07-22 16:10:39.971537,2026-07-22 16:10:40.307198,0 days 00:00:00.335661,0.721696897183815,0.9091248360355031,0.1827602783178572,9,5.034443102887247,114,0.00052821153945323,0.00010411985985244788,1.1454283622088688,0.6733618039413735,COMPLETE
2,0.8924860770773,2026-07-22 16:10:40.307585,2026-07-22 16:10:41.148316,0 days 00:00:00.840731,0.6798695128633439,2.28034992108518,0.01518747922672247,5,7.960875022580142,528,0.00042472707398058225,0.0032364259509045654,1.0231955066076204,0.9140703845572055,COMPLETE
3,0.8953397193138783,2026-07-22 16:10:41.148670,2026-07-22 16:10:41.645395,0 days 00:00:00.496725,0.7218455076693483,4.828160165372797,0.016666983286066417,3,19.02882520781333,525,7.569183361880229e-08,0.023124476169969505,1.219794819444136,0.9233589392465844,COMPLETE
4,0.8939451993762532,2026-07-22 16:10:41.645778,2026-07-22 16:10:41.856793,0 days 00:00:00.211015,0.7246844304357644,1.2938999080000846,0.044079840381692416,3,18.27708763949686,185,0.0004793052550782129,0.0012160983720772207,1.0923090343768775,0.8650089137415928,COMPLETE
5,0.888518601024727,2026-07-22 16:10:41.857148,2026-07-22 16:10:42.361083,0 days 00:00:00.503935,0.6353970008207678,2.9894998940554256,0.10196967939171485,10,18.001719658125328,779,5.805581976088804e-07,2.6342705142297507e-08,1.1624571536611952,0.9687496940092467,COMPLETE
6,0.886036979282691,2026-07-22 16:10:42.361444,2026-07-22 16:10:43.442928,0 days 00:00:01.081484,0.6563696899899051,1.4046725484369038,0.022544116997360492,9,7.778313207178196,372,0.16587190283399628,4.936257118809177e-08,1.4928124664226368,0.8170784332632994,COMPLETE
7,0.8944575629316107,2026-07-22 16:10:43.443298,2026-07-22 16:10:44.058770,0 days 00:00:00.615472,0.9085081386743783,3.534286719238086,0.018135730867783414,3,16.49376714064185,641,4.638759594322625e-08,2.1582437583712345e-05,1.0578604446861422,0.8916028672163949,COMPLETE
8,0.8814101136110493,2026-07-22 16:10:44.059135,2026-07-22 16:10:45.016875,0 days 00:00:00.957740,0.8918424713352257,1.554911608578311,0.06470376604234768,5,2.207608655434449,705,0.005470376807480385,1.7864560293727905,1.2358055348794643,0.7300733288106988,COMPLETE
9,0.8864268211182892,2026-07-22 16:10:45.017229,2026-07-22 16:10:45.279082,0 days 00:00:00.261853,0.8090931317527976,3.854835899772805,0.08471354625326555,9,11.664266753820428,183,7.04480806377519e-05,1.7235506887443864e-08,1.0538767292082933,0.7975182385457563,COMPLETE
10,0.8925551347738917,2026-07-22 16:10:45.279432,2026-07-22 16:10:46.187473,0 days 00:00:00.908041,0.983908298378168,4.883832207856136,0.010181283131439643,6,13.75410843153662,484,3.995152267446128e-06,7.0492407163799236,1.3214447872782646,0.6154900799844732,COMPLETE
11,0.8951347738917353,2026-07-22 16:10:46.187865,2026-07-22 16:10:46.628765,0 days 00:00:00.440900,0.8386763717416363,4.981859012345584,0.025582480843262954,3,19.90494678270672,603,1.1153581973005241e-08,3.0429301130804995e-06,1.258748279017796,0.9758524559654704,COMPLETE
12,0.894764981064825,2026-07-22 16:10:46.629161,2026-07-22 16:10:47.049140,0 days 00:00:00.419979,0.8017868876728301,4.957986477468323,0.03069566805078821,4,19.194768078736033,573,1.224310860385835e-08,2.351194054959454e-06,1.25715594203987,0.9975453733679318,COMPLETE
13,0.89499443083092,2026-07-22 16:10:47.049488,2026-07-22 16:10:47.390167,0 days 00:00:00.340679,0.8011115168447561,4.253761656565475,0.03409649466368475,3,19.95864315033817,407,2.7007063897374656e-07,0.1304970862767989,1.3685772411768462,0.9457198564752702,COMPLETE
14,0.8931187346847851,2026-07-22 16:10:47.390514,2026-07-22 16:10:48.188145,0 days 00:00:00.797631,0.8647080858469189,4.491918486496959,0.011023804312835242,4,16.009348082095322,629,3.901069568054158e-06,0.19839954818314431,1.2366654335406781,0.8455942584563718,COMPLETE
15,0.8873579861884606,2026-07-22 16:10:48.188512,2026-07-22 16:10:49.124394,0 days 00:00:00.935882,0.7358930270498873,0.02370059826544768,0.023272117000660217,6,15.164241492156835,468,1.0531402030374564e-08,2.3566411207530137e-06,1.4292752893399778,0.9311149037830164,COMPLETE
16,0.8934061038093115,2026-07-22 16:10:49.124760,2026-07-22 16:10:49.631730,0 days 00:00:00.506970,0.9797219789344329,3.3857130578130583,0.048867945237378585,4,17.173851163284546,790,3.515375352826936e-07,4.4745492608406233e-07,1.1599650468263638,0.9889276140060618,COMPLETE
17,0.8930830920026732,2026-07-22 16:10:49.632097,2026-07-22 16:10:50.142498,0 days 00:00:00.510401,0.7678903425036843,4.1354135777339796,0.01431972445642019,5,14.279241454275194,297,4.484093813773471e-06,0.0001356959638762936,1.3141720953558726,0.7730982444721965,COMPLETE
18,0.8921719759411896,2026-07-22 16:10:50.142861,2026-07-22 16:10:50.728257,0 days 00:00:00.585396,0.8576200188277788,2.853604545770008,0.027204541960000064,3,19.27188847390846,597,8.90103770196517e-08,0.03685837327864841,1.263431606979661,0.8927802499536679,COMPLETE
19,0.8944163510804188,2026-07-22 16:10:50.728634,2026-07-22 16:10:51.378723,0 days 00:00:00.650089,0.9337826583444889,4.64051434116436,0.018538044606223526,7,11.729877648091472,678,6.789187154227723,17.529178146389466,1.1978142925164248,0.9512465712932955,COMPLETE
20,0.8920605925595901,2026-07-22 16:10:51.379072,2026-07-22 16:10:51.827931,0 days 00:00:00.448859,0.6888724181324203,3.951437094242025,0.04010535334279212,4,17.13280141161807,532,3.3616816223042014e-05,0.0002597243658638986,1.1175327714359147,0.869094615574377,COMPLETE
21,0.8949053241256406,2026-07-22 16:10:51.828265,2026-07-22 16:10:52.175312,0 days 00:00:00.347047,0.8210713411750037,4.348127888542599,0.03378504577156715,3,19.886893338884178,405,1.982992634236276e-07,0.08885547063364693,1.385893201365699,0.9416221920015159,COMPLETE
22,0.8950289596792158,2026-07-22 16:10:52.175697,2026-07-22 16:10:52.468710,0 days 00:00:00.293013,0.7703113171170791,4.421248670284665,0.05880552619654731,3,19.929287411010854,442,6.24584675484519e-07,0.5108748028004018,1.2994971420016173,0.9624031405705357,COMPLETE
23,0.8948028514145691,2026-07-22 16:10:52.469069,2026-07-22 16:10:52.769744,0 days 00:00:00.300675,0.7657380686200721,4.935049683474185,0.059763597668803875,4,17.47373955768715,468,1.458064854772387e-06,1.2750185830210783,1.2868607994571695,0.9996213972320797,COMPLETE
24,0.8939362887057252,2026-07-22 16:10:52.770093,2026-07-22 16:10:52.974440,0 days 00:00:00.204347,0.769894352587281,4.535405524794711,0.10115813107857766,3,18.21336531757858,301,2.9772800163696936e-08,0.015374789577498639,1.223709408585353,0.9100786207785536,COMPLETE
25,0.893539763867231,2026-07-22 16:10:52.974778,2026-07-22 16:10:53.631080,0 days 00:00:00.656302,0.8433487490568512,3.6095940542851235,0.013498596695239224,4,15.900487299621421,534,2.235618738483668e-05,1.3229414859265278,1.2001431779981013,0.9642133032533929,COMPLETE
26,0.8940966807752284,2026-07-22 16:10:53.631446,2026-07-22 16:10:54.029448,0 days 00:00:00.398002,0.6916618853509835,4.989944677913073,0.13753043247749056,5,19.869536415288817,728,5.7655461467829645e-08,1.5115549396383318e-05,1.2983709941847748,0.970887667571786,COMPLETE
27,0.8951793272443751,2026-07-22 16:10:54.029827,2026-07-22 16:10:54.551941,0 days 00:00:00.522114,0.7649645382872012,3.962812909012773,0.021731932281702136,3,18.525003548322054,578,7.378814831689016e-07,2.080023818986838e-07,1.423868383981146,0.9210276117963409,COMPLETE
28,0.8929538872800178,2026-07-22 16:10:54.552299,2026-07-22 16:10:55.316555,0 days 00:00:00.764256,0.6030947773906212,3.055791650699746,0.020099524447022146,4,14.080915025171569,600,1.1338604960692016e-07,4.47444196357232e-07,1.4950659932565311,0.8362673721525016,COMPLETE
29,0.8894586767654266,2026-07-22 16:10:55.316933,2026-07-22 16:10:56.077071,0 days 00:00:00.760138,0.7429165279719319,2.460852494528422,0.02624699323490257,6,18.452202216399726,558,1.0880008738672209e-08,1.372964972499872e-07,1.4184622250124665,0.9130564327357438,COMPLETE
